SIRA NO,NUMARA,TİP,DİĞER NUMARA,TARİH,İsim Soyisim ( Diğer Numara),TC Kimlik No (Diğer Numara),IMEI,salt_sure
1,5422566124,Görüntülü aradı,5499827151,2023-01-01 00:02:29,Zeynep ŞAHIN,93486612638,35655709164836,366
2,5422566124,Wifi arandı,5462183875,2023-01-01 00:35:48,Ayşe ŞAHIN,93050100738,35655709164836,394
3,5422566124,Ödemeli Arandı,5409800425,2023-01-01 01:01:21,Hüseyin ŞAHIN,49380029690,35655709164836,293
4,5422566124,Ödemeli Arandı,5588645672,2023-01-01 01:49:49,Zeynep YILMAZ,79265266902,35655709164836,136
5,5422566124,Arandı,5475626054,2023-01-01 02:19:32,Ahmet POLAT,40069847390,35655709164836,471
6,5422566124,Mesaj aldı,5482590533,2023-01-01 02:42:51,Fatma ASLAN,48488922926,35655709164836,0
7,5422566124,Görüntülü aradı,5523478277,2023-01-01 03:14:11,Hüseyin YILMAZ,12429409876,35655709164836,853
8,5422566124,Mesaj aldı,5532651202,2023-01-01 03:34:11,Zeynep ASLAN,64899870236,35655709164836,0
9,5422566124,Aradı,5346111824,2023-01-01 04:18:01,Ahmet AYDIN,96830102212,35655709164836,499
10,5422566124,Mesaj attı,5381830212,2023-01-01 04:27:57,Ayşe DOĞAN,90478223858,35655709164836,0
11,5422566124,Wifi arandı,5538266916,2023-01-01 04:56:49,Ayşe YILDIZ,83612299000,35655709164836,583
12,5422566124,Ödemeli Arandı,5341576703,2023-01-01 05:40:13,Hatice KAYA,43226681080,35655709164836,388
13,5422566124,Arandı,5302622859,2023-01-01 06:01:55,Mustafa ÖZTÜRK,67797048424,35655709164836,480
14,5422566124,Mesaj aldı,5526722870,2023-01-01 06:35:56,Ayşe AYDIN,86957899348,35655709164836,0
15,5422566124,Mesaj aldı,5475626054,2023-01-01 07:18:47,Ahmet POLAT,40069847390,35655709164836,0
16,5422566124,Aradı,5373813557,2023-01-01 08:12:38,Ayşe ÇELIK,36660383498,35655709164836,89
17,5422566124,Aradı,5373024348,2023-01-01 09:13:34,Hüseyin ŞAHIN,86916625452,35655709164836,815
18,5422566124,Arandı,5439277358,2023-01-01 10:11:18,Mustafa DOĞAN,18828978258,35655709164836,28
19,5422566124,Mesaj aldı,5577706452,2023-01-01 10:25:23,Hatice KURT,33973398218,35655709164836,0
20,5422566124,Mesaj attı,5373047321,2023-01-01 11:05:11,Ahmet ASLAN,31770081760,35655709164836,0
21,5422566124,Aradı,5349175053,2023-01-01 11:46:52,Mustafa DOĞAN,23236455796,35655709164836,226
22,5422566124,Mesaj aldı,5448547609,2023-01-01 12:28:35,Emine DOĞAN,45122751546,35655709164836,0
23,5422566124,Görüntülü aradı,5525903484,2023-01-01 12:29:11,Ayşe KAYA,48033872690,35655709164836,249
24,5422566124,Wifi arandı,5597127541,2023-01-01 13:22:23,Ali ÇELIK,49146967792,35655709164836,43
25,5422566124,Aradı,5588645672,2023-01-01 13:52:50,Zeynep YILMAZ,79265266902,35655709164836,758
26,5422566124,Mesaj attı,5311869923,2023-01-01 14:42:43,Mustafa ASLAN,28036149890,35655709164836,0
27,5422566124,Aradı,5577708843,2023-01-01 15:10:31,Emine DOĞAN,32037238200,35655709164836,368
28,5422566124,Wifi arandı,5377831235,2023-01-01 16:04:00,Ahmet KURT,48822145790,35655709164836,330
29,5422566124,Görüntülü aradı,5449125700,2023-01-01 16:45:56,Fatma KURT,37447231742,35655709164836,636
30,5422566124,Ödemeli Arandı,5373813557,2023-01-01 17:33:55,Ayşe ÇELIK,36660383498,35655709164836,173
31,5422566124,Wifi arandı,5426228415,2023-01-01 18:21:38,Sultan AYDIN,42736476650,35655709164836,942
